id,db_id,query,question,query_res
70,apartment_rentals,"SELECT apt_type_code ,  max(room_count) ,  min(room_count) FROM Apartments GROUP BY apt_type_code","Show each apartment type code, and the maximum and minimum number of rooms for each type.","('Duplex', '9', '3')
('Flat', '9', '3')
('Studio', '9', '6')
"
71,apartment_rentals,"SELECT apt_type_code ,  max(room_count) ,  min(room_count) FROM Apartments GROUP BY apt_type_code",Return each apartment type code along with the maximum and minimum number of rooms among each type.,"('Duplex', '9', '3')
('Flat', '9', '3')
('Studio', '9', '6')
"
72,apartment_rentals,"SELECT gender_code ,  COUNT(*) FROM Guests GROUP BY gender_code ORDER BY COUNT(*) DESC",Show each gender code and the corresponding count of guests sorted by the count in descending order.,"('Female', 9)
('Unknown', 3)
('Male', 3)
"
73,apartment_rentals,"SELECT gender_code ,  COUNT(*) FROM Guests GROUP BY gender_code ORDER BY COUNT(*) DESC",Sort the gender codes in descending order of their corresponding number of guests. Return both the gender codes and counts.,"('Female', 9)
('Unknown', 3)
('Male', 3)
"
74,apartment_rentals,SELECT count(*) FROM Apartments WHERE apt_id NOT IN (SELECT apt_id FROM Apartment_Facilities),How many apartments do not have any facility?,"(8,)
"
75,apartment_rentals,SELECT count(*) FROM Apartments WHERE apt_id NOT IN (SELECT apt_id FROM Apartment_Facilities),Find the number of apartments that have no facility.,"(8,)
"
76,apartment_rentals,"SELECT T2.apt_number FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  ""Confirmed"" INTERSECT SELECT T2.apt_number FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  ""Provisional""","Show the apartment numbers of apartments with bookings that have status code both ""Provisional"" and ""Confirmed""","('Apt. 859',)
('Suite 693',)
('Suite 749',)
"
77,apartment_rentals,"SELECT T2.apt_number FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  ""Confirmed"" INTERSECT SELECT T2.apt_number FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  ""Provisional""","Which apartments have bookings with both status codes ""Provisional"" and ""Confirmed""? Give me the apartment numbers.","('Apt. 859',)
('Suite 693',)
('Suite 749',)
"
78,apartment_rentals,SELECT T1.apt_number FROM Apartments AS T1 JOIN View_Unit_Status AS T2 ON T1.apt_id  =  T2.apt_id WHERE T2.available_yn  =  0 INTERSECT SELECT T1.apt_number FROM Apartments AS T1 JOIN View_Unit_Status AS T2 ON T1.apt_id  =  T2.apt_id WHERE T2.available_yn  =  1,Show the apartment numbers of apartments with unit status availability of both 0 and 1.,"('Apt. 411',)
('Apt. 837',)
"
79,apartment_rentals,SELECT T1.apt_number FROM Apartments AS T1 JOIN View_Unit_Status AS T2 ON T1.apt_id  =  T2.apt_id WHERE T2.available_yn  =  0 INTERSECT SELECT T1.apt_number FROM Apartments AS T1 JOIN View_Unit_Status AS T2 ON T1.apt_id  =  T2.apt_id WHERE T2.available_yn  =  1,Which apartments have unit status availability of both 0 and 1? Return their apartment numbers.,"('Apt. 411',)
('Apt. 837',)
"
